Site,Lat,Lon,ARM
SCLI - Eel Point,32.90514,-118.53781,FALSE
SCLI - Eel Point,32.90460,-118.53814,FALSE
SCLI - Eel Point ,32.90426,-118.53851,FALSE
SCLI - Eel Point ,32.90393,-118.53919,FALSE
SCLI - North Range,32.98754,-118.58135,FALSE
SCLI - North Range,32.98709,-118.58275,FALSE
SCLI - North Range ,32.98618,-118.58527,FALSE
SCLI - North Range ,32.98697,-118.58718,FALSE
SCLI - Northwest Harbor,33.03397,-118.57623,FALSE
SCLI - Northwest Harbor,33.03471,-118.57662,FALSE
SCLI - Northwest Harbor ,33.03501,-118.57685,FALSE
SCLI - China Point,32.80131,-118.42987,FALSE
SCLI - China Point,32.80122,-118.42956,FALSE
SCLI - China Point ,32.80033,-118.43073,FALSE
SCLI - China Point ,32.79989,-118.43255,FALSE
SCLI - Pyramid Cove,32.81763,-118.37003,FALSE
SCLI - Pyramid Cove,32.81641,-118.37054,FALSE
SCLI - Pyramid Cove ,32.81533,-118.37135,FALSE
SCLI - Pyramid Cove ,32.81503,-118.37189,FALSE
SCLI - Castle Rock,33.03477,-118.61361,FALSE
SCLI - Castle Rock,33.03312,-118.62310,FALSE
SCLI - Castle Rock ,33.03661,-118.61815,FALSE
SCLI - Castle Rock ,33.03734,-118.61868,FALSE
SNI - Begg Rock,33.36251,-119.69518,FALSE
SNI - Begg Rock ,33.36251,-119.69508,FALSE
SNI - Begg Rock ,33.36251,-119.69496,FALSE
SNI - Boilers,33.27548,-119.60286,FALSE
SNI - Boilers,33.27515,-119.60258,FALSE
SNI - Boilers ,33.27681,-119.61264,FALSE
SNI - Boilers ,33.27679,-119.61493,FALSE
LACSD 90 Inch Outfall ,33.71274,-118.32742,FALSE
LACSD 120 Inch Outfall ,33.70935,-118.32325,FALSE
HK - Queen Mary ,33.68870,-118.18717,FALSE
HK - Reference Reef ,33.67220,-118.21365,FALSE
HK - Southeast Rock ,33.67552,-118.22237,FALSE
HK - Lobster Traps ,33.69295,-118.16920,FALSE
Cabrillo National Monument,32.66480,-117.24606,FALSE
Cabrillo National Monument,32.66423,-117.24795,FALSE
Cabrillo National Monument ,32.65037,-117.24631,FALSE
Point Loma South,32.67834,-117.25196,FALSE
Point Loma South,32.67218,-117.26371,FALSE
Point Loma South ,32.66855,-117.26315,FALSE
Point Loma South ,32.66804,-117.26552,FALSE
Flat Rock North,33.80048,-118.40652,FALSE
Flat Rock North,33.80121,-118.40696,FALSE
Flat Rock South,33.79622,-118.41075,FALSE
Flat Rock South,33.79644,-118.41301,FALSE
Flat Rock South ,33.79502,-118.41667,FALSE
Ridges North,33.78721,-118.42018,FALSE
Ridges North,33.78750,-118.42234,FALSE
Ridges North ,33.78861,-118.42414,FALSE
Ridges North ,33.79015,-118.42842,FALSE
Ridges South,33.78380,-118.42374,FALSE
Ridges South,33.78502,-118.42495,FALSE
Ridges South ,33.78604,-118.42599,FALSE
Ridges South ,33.78781,-118.42944,FALSE
Rocky Point North,33.77962,-118.42651,FALSE
Rocky Point North,33.77988,-118.42825,FALSE
Rocky Point North ,33.78069,-118.42913,FALSE
Rocky Point North ,33.78193,-118.43356,FALSE
Rocky Point South,33.77421,-118.42989,FALSE
Rocky Point South,33.77517,-118.43134,FALSE
Rocky Point South ,33.77644,-118.43237,FALSE
Rocky Point South ,33.77725,-118.43545,FALSE
Lunada Bay,33.77132,-118.42698,FALSE
Lunada Bay,33.77185,-118.43039,FALSE
Lunada Bay ,33.77091,-118.43214,FALSE
Lunada Bay ,33.77043,-118.43686,FALSE
Resort Point,33.76696,-118.42557,FALSE
Resort Point,33.76656,-118.42728,FALSE
Resort Point ,33.76700,-118.42856,FALSE
Resort Point ,33.76636,-118.42916,FALSE
Honeymoon Cove,33.76515,-118.42319,FALSE
Honeymoon Cove,33.76437,-118.42410,FALSE
Honeymoon Cove ,33.76403,-118.42619,FALSE
Honeymoon Cove ,33.76376,-118.42779,FALSE
Christmas Tree Cove,33.76162,-118.41903,FALSE
Christmas Tree Cove,33.76086,-118.42154,FALSE
Christmas Tree Cove ,33.76048,-118.42215,FALSE
Marguerite West,33.75834,-118.41866,FALSE
Marguerite West,33.75819,-118.41904,FALSE
Marguerite West ,33.75740,-118.41953,FALSE
Marguerite Central,33.75669,-118.41810,FALSE
Segovia,33.76302,-118.42344,FALSE
Segovia,33.76286,-118.42407,FALSE
Segovia ,33.76228,-118.42433,FALSE
Marguerite East,33.75553,-118.41683,FALSE
Marguerite East,33.75554,-118.41722,FALSE
Underwater Arch,33.75182,-118.41576,FALSE
Underwater Arch,33.75132,-118.41736,FALSE
Underwater Arch ,33.75128,-118.41780,FALSE
Albondigas,33.75084,-118.41623,FALSE
Albondigas ,33.74982,-118.41745,FALSE
Hawthorne Reef,33.74720,-118.41512,FALSE
Hawthorne Reef,33.74697,-118.41646,FALSE
Hawthorne Reef ,33.74699,-118.41752,FALSE
Hawthorne Reef ,33.74678,-118.42059,FALSE
Point Vicente West,33.74082,-118.41328,FALSE
Point Vicente West ,33.73874,-118.41450,FALSE
Point Vicente West ,33.73831,-118.41485,FALSE
Long Point West,33.73785,-118.40315,FALSE
Long Point West,33.73738,-118.40334,FALSE
Long Point East,33.73623,-118.40026,FALSE
Long Point East,33.73582,-118.40121,FALSE
Long Point East ,33.73509,-118.40205,FALSE
Long Point East ,33.73410,-118.40293,FALSE
Old Marineland,33.73747,-118.39518,FALSE
120 Reef,33.73839,-118.39247,FALSE
120 Reef,33.73732,-118.39240,FALSE
Abalone Cove Kelp West,33.73954,-118.38795,FALSE
Abalone Cove Kelp West,33.73885,-118.38762,FALSE
Abalone Cove Kelp West ,33.73727,-118.38604,FALSE
Portuguese Point,33.73691,-118.37551,FALSE
Portuguese Point,33.73649,-118.37553,FALSE
Portuguese Point ,33.73544,-118.37522,FALSE
Portuguese Bend,33.72902,-118.35624,FALSE
Portuguese Bend,33.72895,-118.35703,FALSE
Portuguese Bend ,33.72674,-118.35781,FALSE
Portuguese Bend ,33.72516,-118.35889,FALSE
Bunker Point,33.72580,-118.35331,FALSE
Bunker Point,33.72538,-118.35355,FALSE
Bunker Point ,33.72458,-118.35410,FALSE
Bunker Point ,33.72335,-118.35414,FALSE
Old 18th,33.72401,-118.34288,FALSE
Old 18th,33.72320,-118.34358,FALSE
Old 18th ,33.72214,-118.34454,FALSE
Old 18th ,33.72095,-118.34439,FALSE
Burial Grounds,33.72530,-118.34708,FALSE
Burial Grounds,33.72433,-118.34748,FALSE
Burial Grounds ,33.72334,-118.34776,FALSE
Burial Grounds ,33.72222,-118.34838,FALSE
Cape Point,33.72240,-118.33929,FALSE
Cape Point,33.72161,-118.34032,FALSE
Cape Point ,33.72024,-118.34091,FALSE
Cape Point ,33.71855,-118.34147,FALSE
KOU Rock,33.72130,-118.33683,FALSE
KOU Rock,33.72024,-118.33722,FALSE
KOU Rock ,33.71772,-118.33926,FALSE
KOU Rock ,33.71696,-118.33961,FALSE
3 Palms East,33.71932,-118.33102,FALSE
3 Palms East,33.71803,-118.33179,FALSE
3 Palms East ,33.71664,-118.33295,FALSE
3 Palms East ,33.71407,-118.33414,FALSE
3 Palms West,33.72071,-118.33376,FALSE
3 Palms West,33.71949,-118.33488,FALSE
3 Palms West ,33.71805,-118.33579,FALSE
3 Palms West ,33.71584,-118.33663,FALSE
Whites Point,33.71574,-118.32253,FALSE
Whites Point,33.71450,-118.32242,FALSE
Whites Point ,33.71385,-118.32404,FALSE
Cairns,33.71133,-118.30806,FALSE
Cairns,33.70972,-118.30872,FALSE
Cairns ,33.70744,-118.30967,FALSE
Point Fermin,33.70652,-118.29738,FALSE
Point Fermin,33.70565,-118.29800,FALSE
Point Fermin ,33.70471,-118.29859,FALSE
Santa Monica Jetty (Center),34.00779,-118.50286,TRUE
Crystal Cove,33.56418,-117.83491,FALSE
Crystal Cove,33.56391,-117.83614,FALSE
Crystal Cove ,33.56365,-117.83806,FALSE
Heisler Park,33.54181,-117.79185,FALSE
Heisler Park,33.54066,-117.79258,FALSE
Heisler Park ,33.53973,-117.79276,FALSE
Laguna Beach,33.53145,-117.77945,FALSE
Laguna Beach,33.53115,-117.78048,FALSE
Laguna Beach ,33.53045,-117.78102,FALSE
Dana Point,33.47363,-117.72401,FALSE
Dana Point,33.47059,-117.72313,FALSE
Dana Point ,33.46950,-117.73632,FALSE
San Mateo Kelp,33.38552,-117.60272,FALSE
San Mateo Kelp ,33.38365,-117.61356,FALSE
Leucadia,33.06413,-117.30906,FALSE
Leucadia,33.06386,-117.31109,FALSE
Leucadia ,33.06349,-117.31231,FALSE
Swami's,33.03683,-117.29947,FALSE
Swami's,33.03562,-117.30087,FALSE
Swami's ,33.03504,-117.30325,FALSE
Matlahuayl,32.85146,-117.27041,FALSE
Matlahuayl,32.85343,-117.26986,FALSE
Children's Pool,32.85040,-117.27771,FALSE
Children's Pool,32.85173,-117.27864,FALSE
Children's Pool ,32.85364,-117.28021,FALSE
SCAI - Indian Rock,33.46866,-118.52576,FALSE
SCAI - Indian Rock,33.46883,-118.52567,FALSE
SCAI - Indian Rock ,33.46842,-118.52415,FALSE
SCAI - Indian Rock ,33.46843,-118.52221,FALSE
SCLI - Reflector Reef,33.02513,-118.56349,FALSE
SCLI - Reflector Reef,33.02602,-118.56310,FALSE
SCLI - Reflector Reef ,33.02605,-118.56211,FALSE
SCLI - Reflector Reef ,33.02617,-118.56181,FALSE
SCLI - Boy Scout Camp,33.00179,-118.54864,FALSE
SCLI - Boy Scout Camp,33.00212,-118.54824,FALSE
SCLI - Boy Scout Camp ,33.00232,-118.54791,FALSE
SCLI - Station 2,32.97624,-118.53156,FALSE
SCLI - Station 2,32.97647,-118.53132,FALSE
SCLI - Station 2 ,32.97675,-118.53091,FALSE
SCLI - Station 1,32.9356,-118.49796,FALSE
SCLI - Station 1,32.93581,-118.49762,FALSE
SCLI - Lil Flower,32.83648,-118.36585,FALSE
SCLI - Lil Flower,32.83645,-118.36565,FALSE
SCLI - Lil Flower ,32.83676,-118.36589,FALSE
SCLI - Lil Flower ,32.83685,-118.36590,FALSE
SCLI - Purseseine Rock,32.86793,-118.40779,FALSE
SCLI - Purseseine Rock,32.86806002,-118.40731,FALSE
SCLI - Purseseine Rock ,32.86837,-118.408,FALSE
SCAI - China Point,33.33041,-118.46924,FALSE
SCAI - China Point,33.32982,-118.46952,FALSE
SCAI - China Point ,33.32953,-118.46988,FALSE
SCAI - Salta Verde,33.31544,-118.42199,FALSE
SCAI - Salta Verde,33.31465,-118.42162,FALSE
SCAI - Salta Verde ,33.31420,-118.42188,FALSE
SCAI - Cat Harbor,33.42610,-118.51219,FALSE
SCAI - Cat Harbor,33.42603,-118.51183,FALSE
SCAI - Cat Harbor ,33.42607,-118.51165,FALSE
SCAI - Iron Bound Cove,33.44785,-118.57563,FALSE
SCAI - Iron Bound Cove,33.44768,-118.57568,FALSE
SCAI - Iron Bound Cove ,33.44757,-118.57569,FALSE
SCAI - Ship Rock,33.46322,-118.49165,FALSE
SCAI - Ship Rock,33.46330,-118.49158,FALSE
SCAI - Ship Rock ,33.46354,-118.49174,FALSE
SCAI - Ship Rock ,33.46372,-118.49177,FALSE
SCAI - Italian Gardens,33.41002,-118.37879,FALSE
SCAI - Italian Gardens,33.41022,-118.37874,FALSE
SCAI - Italian Gardens ,33.41039,-118.37881,FALSE
SCAI - Hen Rock,33.39959,-118.36712,FALSE
SCAI - Hen Rock,33.39954,-118.36645,FALSE
SCAI - Hen Rock ,33.39961,-118.36575,FALSE
SCAI - Ripper's Cove,33.42827,-118.43574,FALSE
SCAI - Ripper's Cove,33.42847,-118.43561,FALSE
SCAI - Bird Rock,33.45181,-118.48762,FALSE
SCAI - Bird Rock,33.45201,-118.48766,FALSE
SCAI - Bird Rock ,33.45227,-118.48746,FALSE
SCAI - Bird Rock ,33.45261,-118.48736,FALSE
SCAI - Blue Cavern,33.44784,-118.47943,FALSE
SCAI - Blue Cavern,33.44803,-118.47941,FALSE
SCAI - Blue Cavern ,33.44820,-118.47947,FALSE
SBI - Cat Canyon,33.46455,-119.04619,FALSE
SBI - Cat Canyon,33.46456,-119.04571,FALSE
SBI - Cat Canyon ,33.46444,-119.04427,FALSE
SBI - Cat Canyon ,33.46376,-119.04413,FALSE
SBI - Sutil,33.46512,-119.04856,FALSE
SBI - Sutil,33.46516,-119.04867,FALSE
SBI - Sutil ,33.46559,-119.04856,FALSE
SBI - Sutil ,33.46376,-119.04413,FALSE
SBI - Southeast Sealion,33.46929,-119.02991,FALSE
SBI - Southeast Sealion,33.46888,-119.02880,FALSE
SBI - Southeast Sealion ,33.46877,-119.02699,FALSE
SBI - Southeast Reef,33.46581,-119.03149,FALSE
SBI - Southeast Reef,33.46550,-119.03032,FALSE
SBI - Southeast Reef ,33.46191,-119.02687,FALSE
SBI - Southeast Reef ,33.46159,-119.02667,FALSE
Nicholas Canyon West,34.04311,-118.92229,FALSE
Nicholas Canyon West,34.04021,-118.92314,FALSE
Nicholas Canyon West ,34.03752,-118.92286,FALSE
Lechuza,34.03321,-118.86356,FALSE
Lechuza,34.03139,-118.86330,FALSE
Point Dume,33.99906,-118.80672,FALSE
Point Dume,33.99845,-118.80691,FALSE
Point Dume ,33.99812,-118.80695,FALSE
Little Dume West,34.00630,-118.79356,FALSE
Little Dume West,34.00561,-118.79207,FALSE
Little Dume West ,34.00518,-118.78801,FALSE
Escondido West,34.02102,-118.77507,FALSE
Escondido West,34.02011,-118.77239,FALSE
South La Jolla,32.81656,-117.27980,FALSE
South La Jolla,32.81834,-117.28509,FALSE
South La Jolla ,32.80956,-117.28668,FALSE
South La Jolla ,32.80631,-117.29447,FALSE
Point Loma Central,32.70950,-117.26286,FALSE
Point Loma Central ,32.70983,-117.26951,FALSE
Point Loma Central ,32.71012,-117.27519,FALSE
PVR 2A ARM,33.72340,-118.34996,TRUE
PVR 2B ARM,33.72278,-118.34978,TRUE
PVR 2C ARM,33.72254,-118.34910,TRUE
PVR 4B ARM,33.72156,-118.34678,TRUE
PVR 4D ARM,33.72197,-118.34721,TRUE
PVR 4C ARM,33.72110,-118.34674,TRUE
PVR 5A ARM,33.72157,-118.34582,TRUE
PVR 5B ARM,33.72099,-118.34540,TRUE
PVR 5C ARM,33.72046,-118.34526,TRUE
PVR 6A ARM,33.72102,-118.34388,TRUE
PVR 6C ARM,33.71998,-118.34387,TRUE
PVR 6D ARM,33.72051,-118.34391,TRUE
PVR 7A ARM,33.72040,-118.34240,TRUE
PVR 7B ARM,33.72019,-118.34245,TRUE
PVR 7C ARM,33.71962,-118.34231,TRUE
PVR 8A ARM,33.71930,-118.34009,TRUE
PVR 8B ARM,33.71884,-118.34057,TRUE
PVR 8C ARM,33.71836,-118.34039,TRUE
Star of Scotland ARM,33.99688,-118.52038,TRUE
Hermosa Beach AR - Boxes ARM,33.85279,-118.41301,TRUE
Hermosa Beach AR - Giants ARM,33.85376,-118.41300,TRUE
Hermosa Beach AR - NW ARM,33.85420,-118.41479,TRUE
Hermosa Beach AR - AC ARM,33.85387,-118.41372,TRUE
Hermosa Beach AR - Pier Pilings ARM,33.85291,-118.41430,TRUE
Wreck of the Avalon ARM,33.78961,-118.42813,TRUE
Redondo Beach AR - Barge ARM,33.83829,-118.41058,TRUE
Redondo Beach AR - C ARM,33.83809,-118.40960,TRUE
Redondo Beach AR - D ARM,33.83793,-118.41010,TRUE
Redondo Beach AR - E ARM,33.83760,-118.40976,TRUE
Santa Monica Bay AR - 2 ARM,34.01001,-118.53399,TRUE
Santa Monica Bay AR - 7 ARM,34.02193,-118.54469,TRUE
Santa Monica Bay AR - 11 ARM,34.01207,-118.53831,TRUE
Santa Monica Bay AR - 16 ARM,34.01745,-118.55070,TRUE
Santa Monica Bay AR - 17 ARM,34.00501,-118.53708,TRUE
Santa Monica Bay AR - 18 ARM,34.00663,-118.54039,TRUE
Santa Monica Bay AR - 20 ARM,34.00777,-118.54406,TRUE
Santa Monica Bay AR - 22 ARM,34.01043,-118.54937,TRUE
Santa Monica AR - A ARM,34.00959,-118.53041,TRUE
Santa Monica AR - B ARM,34.00921,-118.53114,TRUE
Santa Monica AR - C ARM,34.00893,-118.53076,TRUE
Marina Del Rey AR - F ARM,33.96755,-118.48666,TRUE
Marina Del Rey AR - I ARM,33.96851,-118.48578,TRUE
Marina Del Rey AR - K ARM,33.96887,-118.48758,TRUE
