Site,mean_chl_mg_m3,max_chl_mg_m3,min_chl_mg_m3,mean_sst_C,max_sst_C,min_sst_C,dist_200m_bath,giantkelp_stipe_density_m2,giantkelp_density_m2,Relief_index,Relief_SD,Relief_simpson,Substrate_index,Substrate_SD,Substrate_simpson,Latitude,Longitude
SCLI - Pyramid Cove,0.696817775797064,2.11013979733935,0.282718963361751,18.1380952380952,22.125,15.5625,2538.38966936601,1.06666666666667,0.194444444444444,0.646504166666667,0.462042663199721,0.306451612903226,3.71105833333333,0.525386462841398,0.258333333333334,32.81609,-118.37092
Abalone Cove Kelp West,3.68898657319055,11.7668668748735,0.622563054068694,18.0661764705882,20.2875,15.24375,2483.73582731917,2.88128507295174,0.486840628507295,0.326392087542088,0.312414872255233,0.258437420803012,3.73980202020202,0.600189754877648,0.22151623764527,33.73857,-118.387306666667
Golden Cove,3.85607065157246,9.3257248124397,0.478860952930856,18.2109375,21.4125,15.61875,2253.0225836719,0.889393939393939,0.25530303030303,0.0307954545454545,0.118563211488529,0.0588465298142718,3.70535909090909,0.691520688241476,0.266959921798632,33.75277,-118.41493
Honeymoon Cove,3.90256756514176,11.1736044518235,0.589476433709025,17.9761224489796,22.2428571428571,14.2071428571429,2595.42725497054,3.03882575757576,0.518371212121212,0.156363131313131,0.23624804686585,0.161151840990551,3.56259911616162,0.56258527620686,0.357002823938308,33.764214,-118.42529275
Marguerite Central,3.60344722972157,10.6141559114367,0.608360364435438,17.7686440677966,21.45,14.3571428571429,2295.30113912667,2.89768518518519,0.60462962962963,0.379927777777778,0.42294465531177,0.322640382317802,3.79214166666667,0.358092373451489,0.25041816009558,33.7566785,-118.418335
Point Vicente West,3.58267132242791,10.2337964918072,0.748259311400181,18.1235294117647,20.98125,15,1534.52844268868,1.88606902356902,0.283164983164983,0.512422348484849,0.508214851908249,0.412759313565766,3.6945577020202,0.505531848392515,0.277226566742696,33.73983,-118.413795
Rocky Point North,3.40453603961913,12.2916741133335,0.645540404750976,17.7001142857143,22.65,14.0625,3575.86313790864,2.24650673400674,0.264793771043771,0.0705901515151516,0.138983437667984,0.0922341696535246,3.6492595959596,0.526655307576844,0.327359617682199,33.7807425,-118.429765
120 Reef,3.68898657319055,11.7668668748735,0.622563054068694,18.0661764705882,20.2875,15.24375,2159.38603124519,2.45520833333334,0.454166666666667,0.25204375,0.360540046749896,0.24005376344086,3.584703125,0.671003799026538,0.300403225806452,33.73779,-118.392305
3 Palms East,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2590.78223766943,2.01041666666667,0.277083333333333,0.0302421875,0.0879014193849595,0.049361559139785,3.46978125,0.665583971761876,0.309408602150538,33.7168475,-118.3326175
3 Palms West,3.62239570962952,14.1801503910276,0.478640002496216,18.2539877300614,21.6,14.98125,2591.31942391938,0.967968750000002,0.0947916666666667,0.0418375,0.0884196715481429,0.0569892473118281,3.4022171875,0.782290294164775,0.360618279569893,33.7185275,-118.335335
