Project,Era,SampleYear,Site,SampleDate,DiveReplicate,DepthZone,Taxa,Category,BRS_per_cov
Navy 22-23 Summer,Post-Construction,2022,SCLI - Reflector Reef,04-Oct-2022,1,Inner,coralline algae - crustose,UPC Species,0
Navy 22-23 Summer,Post-Construction,2022,SCLI - Reflector Reef,04-Oct-2022,1,Middle,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Summer,Post-Construction,2022,SCLI - Reflector Reef,04-Oct-2022,1,Outer,coralline algae - crustose,UPC Species,38.71
Navy 22-23 Summer,Post-Construction,2022,SCLI - Reflector Reef,04-Oct-2022,1,Deep,coralline algae - crustose,UPC Species,16.13
Navy 22-23 Summer,Post-Construction,2022,SCLI - Reflector Reef,04-Oct-2022,2,Inner,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Summer,Post-Construction,2022,SCLI - Reflector Reef,04-Oct-2022,2,Middle,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Summer,Post-Construction,2022,SCLI - Reflector Reef,04-Oct-2022,2,Outer,coralline algae - crustose,UPC Species,38.71
Navy 22-23 Summer,Post-Construction,2022,SCLI - Reflector Reef,04-Oct-2022,2,Deep,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Summer,Post-Construction,2022,SCLI - Boy Scout Camp,04-Oct-2022,1,Inner,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Summer,Post-Construction,2022,SCLI - Boy Scout Camp,04-Oct-2022,1,Middle,coralline algae - crustose,UPC Species,45.16
Navy 22-23 Summer,Post-Construction,2022,SCLI - Boy Scout Camp,04-Oct-2022,1,Outer,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Summer,Post-Construction,2022,SCLI - Boy Scout Camp,04-Oct-2022,2,Inner,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Summer,Post-Construction,2022,SCLI - Boy Scout Camp,04-Oct-2022,2,Middle,coralline algae - crustose,UPC Species,29.03
Navy 22-23 Summer,Post-Construction,2022,SCLI - Boy Scout Camp,04-Oct-2022,2,Outer,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 2,23-Sep-2022,1,Inner,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 2,23-Sep-2022,1,Middle,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 2,23-Sep-2022,1,Outer,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 2,23-Sep-2022,2,Inner,coralline algae - crustose,UPC Species,29.03
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 2,23-Sep-2022,2,Middle,coralline algae - crustose,UPC Species,45.16
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 2,23-Sep-2022,2,Outer,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 1,23-Sep-2022,1,Inner,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 1,23-Sep-2022,1,Middle,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 1,23-Sep-2022,2,Inner,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Summer,Post-Construction,2022,SCLI - Station 1,23-Sep-2022,2,Middle,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Summer,Post-Construction,2022,SCLI - Purseseine Rock,18-Nov-2022,1,Inner,coralline algae - crustose,UPC Species,29.03
Navy 22-23 Summer,Post-Construction,2022,SCLI - Purseseine Rock,18-Nov-2022,1,Middle,coralline algae - crustose,UPC Species,54.84
Navy 22-23 Summer,Post-Construction,2022,SCLI - Purseseine Rock,18-Nov-2022,1,Outer,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Summer,Post-Construction,2022,SCLI - Purseseine Rock,18-Nov-2022,2,Inner,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Summer,Post-Construction,2022,SCLI - Purseseine Rock,18-Nov-2022,2,Middle,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Summer,Post-Construction,2022,SCLI - Purseseine Rock,18-Nov-2022,2,Outer,coralline algae - crustose,UPC Species,45.16
Navy 22-23 Summer,Post-Construction,2022,SCLI - Lil Flower,18-Nov-2022,1,Inner,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Summer,Post-Construction,2022,SCLI - Lil Flower,18-Nov-2022,1,Middle,coralline algae - crustose,UPC Species,54.84
Navy 22-23 Summer,Post-Construction,2022,SCLI - Lil Flower,18-Nov-2022,1,Outer,coralline algae - crustose,UPC Species,58.06
Navy 22-23 Summer,Post-Construction,2022,SCLI - Lil Flower,18-Nov-2022,1,Deep,coralline algae - crustose,UPC Species,64.52
Navy 22-23 Summer,Post-Construction,2022,SCLI - Lil Flower,18-Nov-2022,2,Inner,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Summer,Post-Construction,2022,SCLI - Lil Flower,18-Nov-2022,2,Middle,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Summer,Post-Construction,2022,SCLI - Lil Flower,18-Nov-2022,2,Outer,coralline algae - crustose,UPC Species,41.94
Navy 22-23 Summer,Post-Construction,2022,SCLI - Lil Flower,18-Nov-2022,2,Deep,coralline algae - crustose,UPC Species,54.84
Navy 22-23 Summer,Post-Construction,2023,SCLI - Pyramid Cove,06-Oct-2023,1,Inner,coralline algae - crustose,UPC Species,48.39
Navy 22-23 Summer,Post-Construction,2023,SCLI - Pyramid Cove,06-Oct-2023,1,Middle,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Summer,Post-Construction,2023,SCLI - Pyramid Cove,06-Oct-2023,2,Inner,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Summer,Post-Construction,2023,SCLI - Pyramid Cove,06-Oct-2023,2,Middle,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Summer,Post-Construction,2023,SCLI - Pyramid Cove,30-Jun-2023,1,Outer,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Summer,Post-Construction,2023,SCLI - Pyramid Cove,30-Jun-2023,1,Deep,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Summer,Post-Construction,2023,SCLI - Pyramid Cove,30-Jun-2023,2,Outer,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Summer,Post-Construction,2023,SCLI - Pyramid Cove,30-Jun-2023,2,Deep,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Summer,Post-Construction,2023,SCLI - China Point,30-Jun-2023,1,Inner,coralline algae - crustose,UPC Species,16.13
Navy 22-23 Summer,Post-Construction,2023,SCLI - China Point,30-Jun-2023,1,Middle,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Summer,Post-Construction,2023,SCLI - China Point,30-Jun-2023,1,Outer,coralline algae - crustose,UPC Species,32.26
