Site,DepthZone,mean_surveydepth
SCLI - Boy Scout Camp,Inner,5
SCLI - Boy Scout Camp,Outer,15
SCLI - Boy Scout Camp,Middle,10
SCLI - China Point,Deep,22
SCLI - China Point,Inner,5
SCLI - China Point,Middle,10
SCLI - China Point,Outer,15
SCLI - Eel Point,Deep,23
SCLI - Eel Point,Inner,7
SCLI - Eel Point,Middle,10
SCLI - Eel Point,Outer,14
SCLI - Lil Flower,Middle,10
SCLI - Lil Flower,Inner,5
SCLI - Lil Flower,Deep,24
SCLI - Lil Flower,Outer,15
SCLI - North Range,Deep,22
SCLI - North Range,Inner,7
SCLI - North Range,Middle,9
SCLI - North Range,Outer,16
SCLI - Purseseine Rock,Middle,9
SCLI - Purseseine Rock,Inner,5
SCLI - Purseseine Rock,Outer,17
SCLI - Pyramid Cove,Deep,25
SCLI - Pyramid Cove,Inner,5
SCLI - Pyramid Cove,Middle,10
SCLI - Pyramid Cove,Outer,16
SCLI - Reflector Reef,Inner,5
SCLI - Reflector Reef,Middle,8
SCLI - Reflector Reef,Deep,23
SCLI - Reflector Reef,Outer,15
SCLI - Station 1,Inner,4
SCLI - Station 1,Middle,10
SCLI - Station 2,Middle,10
SCLI - Station 2,Inner,5
SCLI - Station 2,Outer,15
SCLI - Castle Rock,Deep,23
SCLI - Castle Rock,Inner,5
SCLI - Castle Rock,Middle,9
SCLI - Castle Rock,Outer,14
SCLI - Northwest Harbor,Outer,14
SCLI - Northwest Harbor,Middle,9
SCLI - Northwest Harbor,Inner,5
NBPL Central,Inner,6
NBPL Central,Middle,10
NBPL Central,Outer,11
NBPL Central,Deep,23
NBPL North,Inner,5
NBPL North,Middle,10
NBPL North,Outer,15
NBPL North,Deep,22
NBPL South,Inner,5
NBPL South,Middle,10
NBPL South,Outer,14
NBPL South,Deep,21
Abalone Cove Kelp West,Inner,5
Abalone Cove Kelp West,Middle,9
Abalone Cove Kelp West,Outer,16
Golden Cove,Inner,4
Honeymoon Cove,Inner,5
Honeymoon Cove,Middle,10
Honeymoon Cove,Outer,14
Honeymoon Cove,Deep,22
Marguerite Central,Inner,5
Marguerite Central,Middle,10
Point Vicente West,Inner,5
Point Vicente West,Middle,10
Point Vicente West,Outer,15
Point Vicente West,Deep,23
Rocky Point North,Inner,5
Rocky Point North,Middle,10
Rocky Point North,Outer,14
Rocky Point North,Deep,22
120 Reef,Inner,5
120 Reef,Middle,10
3 Palms East,Inner,5
3 Palms East,Middle,9
3 Palms East,Outer,15
3 Palms East,Deep,21
3 Palms West,Outer,14
3 Palms West,Deep,21
