Project,Era,SampleYear,Region,RegionAbbr,AR_Complex,AR_Complex_abbr,Site,SampleDate,DiveReplicate,DepthZone,Transect,BenthicReefSpecies,SpeciesGroupF,Abundance,area.m2
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 1,Muricea californica,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 1,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 1,Muricea californica,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 1,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 1,Muricea californica,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 1,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 1,Muricea californica,gorgonians,4,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,1,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 1,Muricea fruticosa,gorgonians,2,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 2,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 2,Leptogorgia alba,gorgonians,0,60
