Site,DepthZone,Latitude,Longitude
SCLI - Pyramid Cove,Deep,32.81503,-118.37189
SCLI - Pyramid Cove,Inner,32.81755,-118.36991
SCLI - Pyramid Cove,Middle,32.81645,-118.37053
SCLI - Pyramid Cove,Outer,32.81533,-118.37135
Abalone Cove Kelp West,Inner,33.73954,-118.38795
Abalone Cove Kelp West,Middle,33.73885,-118.38773
Abalone Cove Kelp West,Outer,33.73732,-118.38624
Golden Cove,Inner,33.75277,-118.41493
Honeymoon Cove,Inner,33.76499,-118.42313
Honeymoon Cove,Middle,33.764402,-118.424192
Honeymoon Cove,Outer,33.764076,-118.426107
Honeymoon Cove,Deep,33.763388,-118.427742
Marguerite Central,Inner,33.75676,-118.41813
Marguerite Central,Middle,33.756597,-118.41854
Point Vicente West,Inner,33.74128,-118.41261
Point Vicente West,Middle,33.74083,-118.41335
Point Vicente West,Outer,33.73871,-118.4144
Point Vicente West,Deep,33.7385,-118.41482
Rocky Point North,Inner,33.77961,-118.42688
Rocky Point North,Middle,33.78018,-118.42849
Rocky Point North,Outer,33.78114,-118.43016
Rocky Point North,Deep,33.78204,-118.43353
120 Reef,Inner,33.73833,-118.39231
120 Reef,Middle,33.73725,-118.3923
3 Palms East,Inner,33.71888,-118.33145
3 Palms East,Middle,33.71783,-118.33175
3 Palms East,Outer,33.71666,-118.33317
3 Palms East,Deep,33.71402,-118.3341
3 Palms West,Outer,33.718,-118.33583
3 Palms West,Deep,33.71583,-118.33673
3 Palms West,Inner,33.72071,-118.33393
3 Palms West,Middle,33.71957,-118.33485
Albondigas,Inner,33.75066,-118.41537
Albondigas,Middle,33.75037,-118.41598
Albondigas,Outer,33.74986,-118.41745
Bunker Point,Inner,33.72619,-118.35291
Bunker Point,Middle,33.72547,-118.35383
Bunker Point,Outer,33.72461,-118.35418
Bunker Point,Deep,33.72336,-118.35413
Burial Grounds,Inner,33.7253,-118.34707
Burial Grounds,Middle,33.72463,-118.34751
Burial Grounds,Outer,33.72339,-118.3477
Burial Grounds,Deep,33.72225,-118.34844
Cairns,Inner,33.711328,-118.307944
Cairns,Middle,33.712387,-118.304624
Cairns,Outer,33.707537,-118.309844
Cape Point,Inner,33.72241,-118.33922
Cape Point,Middle,33.7217,-118.34034
Cape Point,Outer,33.720286,-118.340831
Cape Point,Deep,33.71849,-118.34147
Christmas Tree Cove,Inner,33.76375,-118.42169
Christmas Tree Cove,Middle,33.76091,-118.42167
Christmas Tree Cove,Outer,33.76022,-118.42214
Flat Rock North,Inner,33.80039,-118.40649
Flat Rock North,Middle,33.80157,-118.40695
Flat Rock South,Inner,33.796541,-118.411313
Flat Rock South,Middle,33.7964,-118.413082
Flat Rock South,Outer,33.795,-118.41655
Hawthorne Reef,Inner,33.74721,-118.41535
Hawthorne Reef,Middle,33.74698,-118.41649
Hawthorne Reef,Outer,33.74704,-118.41763
Hawthorne Reef,Deep,33.74682,-118.42034
Hermosa Beach AR - Giants,ARM,33.853633,-118.412946
KOU Rock,Inner,33.72551,-118.34166
KOU Rock,Middle,33.72017,-118.33735
KOU Rock,Outer,33.71762,-118.3392
KOU Rock,Deep,33.71699,-118.33955
Long Point East,Inner,33.73594,-118.40048
Long Point East,Middle,33.73572,-118.40135
Long Point East,Outer,33.73545,-118.40175
Long Point East,Deep,33.73401,-118.40297
Long Point West,Inner,33.73722,-118.40324
Long Point West,Middle,33.73732,-118.4034
Lunada Bay,Deep,33.770455,-118.436903
Lunada Bay,Inner,33.771011,-118.427236
Lunada Bay,Middle,33.771893,-118.430377
Lunada Bay,Outer,33.770888,-118.432239
Marguerite East,Inner,33.75553,-118.41683
Marguerite East,Middle,33.75555,-118.41734
Marguerite West,Inner,33.75828,-118.41891
Marguerite West,Middle,33.75819,-118.41904
Marguerite West,Outer,33.75742,-118.41958
Marina del Rey AR - F,ARM,33.967623,-118.486681
Marina del Rey AR - F,ARM,33.96757,-118.48665
Marina del Rey AR - I,ARM,33.968595,-118.485784
Marina del Rey AR - I,ARM,33.96853,-118.48577
Marina del Rey AR - K,ARM,33.969027,-118.487374
Marina del Rey AR - K,ARM,33.96892,-118.4875
Old 18th,Deep,33.72077,-118.34585
Old 18th,Outer,33.72218,-118.3444
Old 18th,Middle,33.72322,-118.34348
Old 18th,Inner,33.72395,-118.34283
Old Marineland,Inner,33.73738,-118.39501
Point Fermin,Inner,33.70652,-118.29738
Point Fermin,Middle,33.70565,-118.298
Point Fermin,Outer,33.70471,-118.29859
Portuguese Bend,Inner,33.729157,-118.356351
Portuguese Bend,Middle,33.728988,-118.357135
Portuguese Bend,Outer,33.726765,-118.357813
Portuguese Bend,Deep,33.725097,-118.358924
Portuguese Point,Inner,33.736726,-118.375657
Portuguese Point,Middle,33.736726,-118.375657
Portuguese Point,Outer,33.735499,-118.375218
Resort Point,Inner,33.766342,-118.425866
Resort Point,Middle,33.766611,-118.427248
Resort Point,Outer,33.76687,-118.42871
Resort Point,Deep,33.76631,-118.42913
Ridges North,Inner,33.78707,-118.42048
Ridges North,Middle,33.78705,-118.42268
Ridges North,Outer,33.78845,-118.42434
Ridges North,Deep,33.79015,-118.42836
Ridges South,Inner,33.78398,-118.42385
Ridges South,Middle,33.785091,-118.424872
Ridges South,Outer,33.786182,-118.425727
Ridges South,Deep,33.78786,-118.429328
Rocky Point South,Inner,33.774402,-118.430012
Rocky Point South,Middle,33.775087,-118.431392
Rocky Point South,Outer,33.77638,-118.43224
Rocky Point South,Deep,33.77763,-118.43553
Santa Monica AR - A,ARM,34.00957,-118.53036
Santa Monica AR - B,ARM,34.009324,-118.531234
Santa Monica AR - C,ARM,34.008944,-118.530878
SCAI - Bird Rock,Inner,33.45181,-118.48762
SCAI - Bird Rock,Middle,33.45201,-118.48766
SCAI - Bird Rock,Outer,33.45227,-118.48746
SCAI - Bird Rock,Deep,33.4565,-118.48719
SCAI - Blue Cavern,Inner,33.44789,-118.479209
SCAI - Blue Cavern,Middle,33.448012,-118.479363
SCAI - Blue Cavern,Outer,33.44832,-118.47926
SCAI - Hen Rock,Inner,33.39965,-118.36704
SCAI - Hen Rock,Middle,33.3995,-118.36656
SCAI - Hen Rock,Outer,33.39976,-118.36589
SCAI - Italian Gardens,Inner,33.410466,-118.375529
SCAI - Italian Gardens,Middle,33.410608,-118.375491
SCAI - Italian Gardens,Outer,33.41085,-118.37549
SCAI - Ripper's Cove,Inner,33.428407,-118.43587
SCAI - Ripper's Cove,Middle,33.42817,-118.434778
Underwater Arch,Inner,33.75204,-118.41554
Underwater Arch,Middle,33.751585,-118.41757
Underwater Arch,Outer,33.751249,-118.418
Whites Point,Inner,33.71574,-118.32253
Whites Point,Middle,33.7145,-118.32242
Whites Point,Outer,33.71385,-118.32404
SCAI - Iron Bound Cove,Inner,33.44777,-118.57548
SCAI - Iron Bound Cove,Middle,33.44765,-118.57549
SCAI - Iron Bound Cove,Outer,33.44753,-118.5755079
Segovia,Inner,33.762037,-118.422068
Segovia,Middle,33.762981,-118.424034
Segovia,Outer,33.762048,-118.424467
Flat Rock North,Outer,33.802452,-118.408722
Children's Pool,Inner,32.85057,-117.27765
Children's Pool,Middle,32.85205,-117.27886
Children's Pool,Outer,32.85382,-117.2801
Crystal Cove,Inner,33.56417,-117.83472
Crystal Cove,Middle,33.56409,-117.83563
Crystal Cove,Outer,33.56359,-117.83787
Dana Point,Inner,33.46043,-117.71784
Dana Point,Middle,33.47023,-117.72205
Dana Point,Outer,33.46827,-117.72537
Escondido West,Inner,34.022061,-118.774113
Escondido West,Middle,34.020374,-118.77272
Heisler Park,Inner,33.54159,-117.79119
Heisler Park,Middle,33.54031,-117.79234
Heisler Park,Outer,33.53984,-117.79276
Laguna Beach,Inner,33.53149,-117.77965
Laguna Beach,Middle,33.53128,-117.78057
Laguna Beach,Outer,33.53012,-117.78051
Lechuza,Inner,34.03347,-118.862359
Lechuza,Middle,34.03178,-118.86332
Leucadia,Inner,33.06423,-117.30909
Leucadia,Middle,33.06522,-117.3107
Leucadia,Outer,33.06369,-117.31211
Little Dume West,Inner,34.00555,-118.79213
Little Dume West,Inner,34.00533,-118.792379
Little Dume West,Middle,34.00519,-118.79092
Little Dume West,Middle,34.00558,-118.789842
Little Dume West,Outer,34.0038,-118.78711
Little Dume West,Outer,34.00383,-118.787005
Matlahuayl,Inner,32.85247,-117.27041
Matlahuayl,Middle,32.85296,-117.27035
Nicholas Canyon West,Inner,34.04292,-118.92268
Nicholas Canyon West,Middle,34.04119,-118.92273
Nicholas Canyon West,Outer,34.03746,-118.92278
Point Dume,Inner,33.99876,-118.8068691
Point Dume,Middle,33.99866,-118.8070374
Point Dume,Outer,33.99824,-118.8073974
Point Loma Central,Inner,32.71011,-117.26009
Point Loma Central,Middle,32.70946,-117.2626
Point Loma Central,Outer,32.71007,-117.26956
Point Loma Central,Deep,32.70974,-117.27601
PVR 2A,ARM,33.7234,-118.34996
PVR 2B,ARM,33.72278,-118.34978
PVR 2C,ARM,33.72254,-118.3491
PVR 4B,ARM,33.72156,-118.3467833
PVR 4C,ARM,33.7211,-118.3467384
PVR 5A,ARM,33.72157,-118.34582
PVR 5B,ARM,33.72099,-118.3454
PVR 5C,ARM,33.72046,-118.34526
PVR 6A,ARM,33.72102,-118.34388
PVR 6C,ARM,33.71998,-118.34387
PVR 7A,ARM,33.7204,-118.3424
PVR 7B,ARM,33.72019,-118.34245
PVR 7C,ARM,33.71962,-118.34231
PVR 8A,ARM,33.7193,-118.34009
PVR 8B,ARM,33.71884,-118.34057
PVR 8C,ARM,33.71836,-118.34039
San Mateo Kelp,Middle,33.38508,-117.60313
