Site,Relief_index,Relief_SD,Substrate_index,Substrate_SD
Rocky Point North,0.0759815789473684,0.145857665016712,3.65791842105263,0.519450576572982
Honeymoon Cove,0.149831578947368,0.229321059591522,3.56031184210526,0.562803196375617
Marguerite Central,0.379927777777778,0.42294465531177,3.79214166666667,0.358092373451489
Golden Cove,0.0307954545454545,0.118563211488529,3.70535909090909,0.691520688241476
Point Vicente West,0.518251315789474,0.510468847194177,3.70461447368421,0.494452022435297
Abalone Cove Kelp West,0.324815517241379,0.311808925581338,3.74308620689655,0.594318932045136
Flat Rock North,0.0531382352941176,0.0892428808766265,3.21349411764706,0.724757492793465
Flat Rock South,0.11626875,0.205541520907421,3.41600833333333,0.700293827591279
Ridges North,0.232922058823529,0.342131377501024,3.60771323529412,0.587237137114585
Ridges South,0.1416359375,0.209769252173081,3.4526609375,0.6584285838924
Rocky Point South,0.1083703125,0.191517282120886,3.631053125,0.572957487632609
Lunada Bay,0.152221875,0.192613182154509,3.6360875,0.522713143492863
Resort Point,0.4329578125,0.335684710120507,3.6184359375,0.509373934167208
Christmas Tree Cove,0.122584,0.18023622125848,3.501316,0.610289948405678
Marguerite West,0.165327083333333,0.208715754651527,3.72848958333333,0.431351447662419
Marguerite East,0.275196875,0.385469672719553,3.688528125,0.487800176748406
Underwater Arch,0.504029166666667,0.408140310061662,3.905925,0.221022126655753
Albondigas,0.315128846153846,0.387329268155605,3.86725384615385,0.292265559147812
Hawthorne Reef,0.12170303030303,0.244167529390334,3.74635909090909,0.529571605193858
Long Point West,0.60785625,0.529411578581408,3.777240625,0.481240846557631
Long Point East,0.436490625,0.454842037099077,3.633609375,0.576374383782994
Old Marineland,0.14314375,0.24659014969621,3.7641125,0.38757765002248
120 Reef,0.25204375,0.360540046749896,3.584703125,0.671003799026538
Portuguese Point,0.5880375,0.416758639647841,3.84142708333333,0.391917256108349
Portuguese Bend,0.06603125,0.145678080956468,3.689534375,0.468526396066424
Bunker Point,0.093253125,0.167990140192279,3.5363203125,0.683303788915057
Burial Grounds,0.060990625,0.0974739413182025,3.465234375,0.763201632196278
Old 18th,0.01310625,0.044308824238728,2.607884375,0.910161320315604
Cape Point,0.0226859375,0.0775383157168882,3.5272203125,0.731132700876878
KOU Rock,0.1839734375,0.205898889365444,3.5242140625,0.615213483607369
3 Palms West,0.0418375,0.088419671548143,3.4022171875,0.782290294164776
3 Palms East,0.0302421875,0.0879014193849596,3.46978125,0.665583971761876
Whites Point,0.0698979166666667,0.0587563654935665,3.56112916666667,0.523903528896324
Cairns,0.0349520833333333,0.0836393213256285,3.48790833333333,0.675952924069433
Point Fermin,0.164658333333333,0.0874175973236741,3.4717625,0.633752350161246
Santa Monica AR - A,0.00461428571428572,0.0256579002895393,2.81147142857143,0.87317363054891
Santa Monica AR - B,0.145171428571429,0.260449985310737,2.73273571428571,1.20880330617993
Santa Monica AR - C,0.292628571428571,0.39098708045879,3.14053571428571,1.18819949263404
Marina del Rey AR - K,0.24394375,0.377846434356993,3.340725,0.815367301491617
Marina del Rey AR - I,0.29034375,0.341051859326341,3.5101375,0.763747192701724
Marina del Rey AR - F,0.46974375,0.393827160289633,3.65524375,0.601417056113839
Hermosa Beach AR - Giants,0.01814375,0.0556903307613569,2.80840625,1.04992305207908
Segovia,0.30952380952381,0.3681977580425,3.8502380952381,0.291374814027322
Nicholas Canyon West,0.05162,0.141047315268861,3.53763333333333,0.675618349242311
Lechuza,0.046765,0.141099398008288,3.41937,0.822703320089204
Point Dume,0.813986666666667,0.540364286883534,3.67312666666667,0.605578338356407
