Taxa,CommonName,Family
Abudefduf troschelii,Panamic Sergeant Major,Pomacentridae
Acanthogobius flavimanus,Yellowfin Goby,Gobiidae
Acipenser transmontanus,White Sturgeon,Acipenseridae
Agonidae,poachers,Agonidae
Agonopsis sterletus,Southern Spearnose Poacher,Agonidae
Agonopsis vulsa,Northern Spearnose Poacher,Agonidae
Agonus acipenserinus,Sturgeon Poacher,Agonidae
Albula gilberti,Cortez Bonefish,Albulidae
Alepocephalus tenebrosus,California Slickhead,Alepocephalidae
Alloclinus holderi,Island Kelpfish,Labrisomidae
Alopias vulpinus,Thresher Shark,Alopiidae
Alosa sapidissima,American Shad,Clupeidae
Amphistichus argenteus,Barred Surfperch,Embiotocidae
Amphistichus koelzi,Calico Surfperch,Embiotocidae
Amphistichus rhodoterus,Redtail Surfperch,Embiotocidae
Anarrhichthys ocellatus,Wolf-Eel,Anarhichadidae
Anchoa compressa,Deepbody Anchovy,Engraulidae
Anchoa delicatissima,Slough Anchovy,Engraulidae
Anisotremus davidsonii,Sargo,Haemulidae
Anoplopoma fimbria,Sablefish,Anoplopomatidae
Apodichthys flavidus,Penpoint Gunnel,Pholidae
Apodichthys fucorum,Rockweed Gunnel,Pholidae
Apodichthys sactaerosae,Kelp Gunnel,Pholidae
Apogon guadalupensis,Guadalupe Cardinalfish,Apogonidae
Apristurus brunneus,Brown Catshark,Scyliorhinidae
Argentina sialis,Pacific Argentine,Argentinidae
Artedius corallinus,Coralline Sculpin,Cottidae
Artedius harringtoni,Scalyhead Sculpin,Cottidae
Artedius lateralis,Smoothhead Sculpin,Cottidae
Artedius notospilotus,Bonyhead Sculpin,Cottidae
Artedius sp.,sculpin,Cottidae
Artedius Type 16,sculpin,Cottidae
Atheresthes stomias,Arrowtooth Flounder,Pleuronectidae
Atherinidae,Old World Silversides,Atherinidae
Atherinops affinis,Topsmelt,Atherinopsidae
Atherinops affinis < 100 mm SL,Topsmelt,Atherinopsidae
Atherinopsidae,New World Silversides,Atherinopsidae
Atherinopsis californiensis,Jacksmelt,Atherinopsidae
Atractoscion nobilis,White Seabass,Sciaenidae
Aulorhynchus flavidus,Tubesnout,Aulorhynchidae
Azurina hirundo,Swallow Damselfish,Pomacentridae
Bairdiella icistia,Bairdiella,Sciaenidae
Baitball,unidentified bait fish,NA
Balistes polylepis,Finescale Triggerfish,Balistidae
Bathylagidae sp.,Deepsea Smelt,Bathylagidae
Bathylagus ochotensis,Popey Blacksmelt,Bathylagidae
Bathymasteridae sp.,ronquil,Bathymasteridae
Bathyraja interrupta,Sandpaper Skate,Rajidae
Blenniidae,blenny,Blenniidae
Bodianus diplotaenia,Mexican Hogfish,Labridae
Bothidae,lefteye flounders,Bothidae
Bothragonus swanii,Rockhead,Agonidae
Brachyistius frenatus,Kelp Perch,Embiotocidae
Brosmophycis marginata,Red Brotula,Bythitidae
Caelorinchus scaphopsis,Shoulderspot Grenadier,Macrouridae
