worms_id,taxa,common_name_final,kingdom,phylum,class,order,family,genus,rank
279560,Alloclinus holderi,island kelpfish,Animalia,Chordata,Teleostei,Blenniiformes,Labrisomidae,Alloclinus,Species
279617,Anisotremus davidsonii,xantic sargo,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,Species
275234,Balistes polylepis,finescale triggerfish,Animalia,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,Species
240721,Brachyistius frenatus,kelp perch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,Species
276217,Caulolatilus princeps,ocean whitefish,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Malacanthidae,Caulolatilus,Species
277105,Cephaloscyllium ventriosum,swellshark,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Cephaloscyllium,Species
280137,Cheilotrema saturnum,black croaker,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cheilotrema,Species
273751,Chromis punctipinnis,blacksmith,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Chromis,Species
275696,Citharichthys stigmaeus,speckled sanddab,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,Species
280215,Clevelandia ios,arrow goby,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Clevelandia,Species
280219,Clinocottus analis,woolly sculpin,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Clinocottus,Species
280461,Cymatogaster aggregata,shiner perch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,Species
1577347,Phanerodon vacca,pile perch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Damalichthys,Species
240746,Embiotoca jacksoni,black perch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Embiotoca,Species
240740,Embiotoca lateralis,striped seaperch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Embiotoca,Species
280833,Gibbonsia elegans,spotted kelpfish,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Gibbonsia,Species
280865,Girella nigricans,opaleye,Animalia,Chordata,Teleostei,Centrarchiformes,Kyphosidae,Girella,Species
125537,Gobiidae,gobies,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,,Family
271856,Gymnothorax mordax,california moray,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnothorax,Species
275798,Halichoeres semicinctus,rock wrasse,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,Species
1019728,Kyphosus azureus,zebra-perch sea chub,Animalia,Chordata,Teleostei,Centrarchiformes,Kyphosidae,Hermosilla,Species
276694,Heterodontus francisci,horn shark,Animalia,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,Species
281075,Heterostichus rostratus,giant kelpfish,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Heterostichus,Species
281098,Hyperprosopon argenteum,walleye surfperch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Hyperprosopon,Species
240717,Hypsurus caryi,rainbow seaperch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Hypsurus,Species
281130,Hypsypops rubicundus,Garibaldi damselfish,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Hypsypops,Species
281266,Labrisomus xanti,largemouth blenny,Animalia,Chordata,Teleostei,Blenniiformes,Labrisomidae,Labrisomus,Species
281282,Leiocottus hirundo,lavender sculpin,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Leiocottus,Species
281457,Lythrypnus dalli,bluebanded goby,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Lythrypnus,Species
269761,Lythrypnus,goby,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Lythrypnus,Genus
281541,Medialuna californiensis,halfmoon,Animalia,Chordata,Teleostei,Centrarchiformes,Kyphosidae,Medialuna,Species
281562,Micrometrus minimus,dwarf perch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Micrometrus,Species
273886,Mycteroperca xenarcha,broomtail grouper,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Mycteroperca,Species
271485,Myliobatis californica,bat eagle ray,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Species
281685,Neoclinus stephensae,yellowfin fringehead,Animalia,Chordata,Teleostei,Blenniiformes,Chaenopsidae,Neoclinus,Species
240745,Ophiodon elongatus,lingcod,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Ophiodon,Species
281935,Orthonopias triacis,snubnose sculpin,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Orthonopias,Species
240727,Oxyjulis californica,senorita,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Oxyjulis,Species
240743,Oxylebius pictus,painted greenling,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Oxylebius,Species
282054,Paralabrax clathratus,kelp bass,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Paralabrax,Species
282058,Paralabrax maculatofasciatus,spotted sand bass,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Paralabrax,Species
282059,Paralabrax nebulifer,barred sand bass,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Paralabrax,Species
275809,Paralichthys californicus,California flounder,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys,Species
