species_name,hex
Paralabrax nebulifer,#88CCEE
Centrostephanus coronatus,#88CCEE
Neoagarum fimbriatum,#DDCC77
Girella nigricans,#117733
Styela montereyensis,#332288
Agarum fimbriatum,#DDCC77
Laminaria farlowii,#999933
Mesocentrotus franciscanus,#999933
Lythrypnus dalli,#009E73
Megastraea undosa,#CC6677
Halichoeres semicinctus,#882255
Patiria miniata,#882255
Pterygophora californica,#882255
Anthopleura sola,#AA4499
Bodianus pulcher,#AA4499
Sargassum palmeri,#AA4499
Chromis punctipinnis,#56B4E9
Rhacochilus toxotes,#E69F00
Pachycerianthus fimbriatus,#F0E442
Other,#D9D9D9
Mycteroperca xenarcha,NA
Stereolepis gigas,#F0E442
Eisenia arborea,#0072B2
Brachyistius frenatus,#CC6677
Leptogorgia chilensis,#D55E00
Stephanocystis spp.,#CC79A7
Macrocystis pyrifera,#B22222
Muricea californica,#CC79A7
Oxyjulis californica,#CC79A7
Hypsypops rubicundus,#D55E00
Sargassum horneri,#E69F00
Strongylocentrotus purpuratus,#E69F00
Apostichopus parvimensis,#4682B4
Kelletia kelletii,#009E73
Sargassum sp,#009E73
Rhinogobiops nicholsii,#70C1B3
Neobernaya spadicea,#FF9DA7
Haliotis fulgens,#1A535C
Pelagophycus porra,#1A535C
Anisotremus davidsonii,#C06C84
Egregia menziesii,#C06C84
Paralabrax clathratus,#C5A880
Muricea fruticosa,#B07AA1
Medialuna californiensis,#6C9A8B
Sebastes serranoides,#DAA520
Kyphosus azureus,#483D8B
