Site,Region,Reef type,avg_lon,avg_lat,DepthZone_list,years_sampled
SCLI - Pyramid Cove,San Clemente Island,Natural reef,-118.371027777778,32.8159722222222,"Deep, Inner, Middle, Outer",3
Abalone Cove Kelp West,Palos Verdes,Natural reef,-118.387306666667,33.73857,"Inner, Middle, Outer",8
Golden Cove,Palos Verdes,Natural reef,-118.41493,33.75277,Inner,9
Honeymoon Cove,Palos Verdes,Natural reef,-118.42529275,33.764214,"Inner, Middle, Outer, Deep",9
Marguerite Central,Palos Verdes,Natural reef,-118.418335,33.7566785,"Inner, Middle",9
Point Vicente West,Palos Verdes,Natural reef,-118.413756190476,33.7398883333333,"Inner, Middle, Outer, Deep",9
Rocky Point North,Palos Verdes,Natural reef,-118.429797692308,33.7807569230769,"Inner, Middle, Outer, Deep",9
120 Reef,Palos Verdes,Natural reef,-118.392305294118,33.7378217647059,"Inner, Middle",8
3 Palms East,Palos Verdes,Natural reef,-118.3326175,33.7168475,"Inner, Middle, Outer, Deep",8
3 Palms West,Palos Verdes,Natural reef,-118.335335,33.7185275,"Outer, Deep, Inner, Middle",8
Albondigas,Palos Verdes,Natural reef,-118.416266666667,33.7502966666667,"Inner, Middle, Outer",9
Bunker Point,Palos Verdes,Natural reef,-118.3537734375,33.724880625,"Inner, Middle, Outer, Deep",8
Burial Grounds,Palos Verdes,Natural reef,-118.34768,33.7238925,"Inner, Middle, Outer, Deep",8
Cairns,Palos Verdes,Natural reef,-118.307470666667,33.7104173333333,"Inner, Middle, Outer",8
Cape Point,Palos Verdes,Natural reef,-118.34046525,33.7207215,"Inner, Middle, Outer, Deep",8
Christmas Tree Cove,Palos Verdes,Natural reef,-118.4218456,33.7615704,"Inner, Middle, Outer",8
Flat Rock North,Palos Verdes,Natural reef,-118.40672,33.80098,"Inner, Middle, Outer",8
Flat Rock South,Palos Verdes,Natural reef,-118.413648333333,33.7959803333333,"Inner, Middle, Outer",8
Hawthorne Reef,Palos Verdes,Natural reef,-118.4174525,33.7470125,"Inner, Middle, Outer, Deep",8
Hermosa Beach AR - Giants,Artificial Reef,Artificial reef,-118.412946,33.853633,ARM,9
KOU Rock,Palos Verdes,Natural reef,-118.33944,33.7200725,"Inner, Middle, Outer, Deep",8
Long Point East,Palos Verdes,Natural reef,-118.401594516129,33.7353209677419,"Inner, Middle, Outer, Deep",8
Long Point West,Palos Verdes,Natural reef,-118.40332,33.73727,"Inner, Middle",8
Lunada Bay,Palos Verdes,Natural reef,-118.43168875,33.77106175,"Deep, Inner, Middle, Outer",8
Marguerite East,Palos Verdes,Natural reef,-118.417116875,33.75554125,"Inner, Middle",8
Marguerite West,Palos Verdes,Natural reef,-118.41918826087,33.7579495652174,"Inner, Middle, Outer",8
Marina del Rey AR - F,Artificial Reef,Artificial reef,-118.4866655,33.9675965,ARM,8
Marina del Rey AR - I,Artificial Reef,Artificial reef,-118.485777,33.9685625,ARM,8
Marina del Rey AR - K,Artificial Reef,Artificial reef,-118.487437,33.9689735,ARM,8
Old 18th,Palos Verdes,Natural reef,-118.34410030303,33.722573030303,"Deep, Outer, Middle, Inner",8
