taxa,common_name_final,Site,DepthZone,mean_density_m2,mean_wt_density_g_m2
Chromis punctipinnis,blacksmith,Big Rock,Inner,0.00833333333333333,0.232958323028636
Embiotoca jacksoni,black perch,Big Rock,Inner,0.0458333333333333,3.49751675964811
Halichoeres semicinctus,rock wrasse,Malibu Bluffs,Inner,0.00833333333333333,0.345979536813411
Halichoeres semicinctus,rock wrasse,Malibu Bluffs,Middle,0.0166666666666667,0.453759631144876
Halichoeres semicinctus,rock wrasse,Big Rock,Inner,0.0333333333333333,1.04569406026493
Hypsypops rubicundus,Garibaldi damselfish,Big Rock,Inner,0.0166666666666667,4.04730082806113
Oxyjulis californica,senorita,Malibu Bluffs,Inner,0.179166666666667,6.07939179867323
Oxyjulis californica,senorita,Malibu Bluffs,Middle,0.00416666666666667,0.0897557469234623
Oxyjulis californica,senorita,Big Rock,Inner,0.00416666666666667,0.209517287850613
Paralabrax clathratus,kelp bass,Malibu Bluffs,Inner,0.0666666666666667,16.4955802290407
Paralabrax clathratus,kelp bass,Malibu Bluffs,Middle,0.0833333333333333,20.3283312736829
Paralabrax clathratus,kelp bass,Big Rock,Inner,0.025,5.72404315723121
Paralabrax nebulifer,barred sand bass,Malibu Bluffs,Middle,0.00416666666666667,1.00717682229474
Paralabrax nebulifer,barred sand bass,Big Rock,Inner,0.00416666666666667,2.05993734925123
Phanerodon furcatus,white seaperch,Malibu Bluffs,Inner,0.00416666666666667,0.130045834753441
Phanerodon furcatus,white seaperch,Big Rock,Inner,0.0583333333333333,2.44236140131852
Semicossyphus pulcher,,Big Rock,Inner,0.0125,3.02729305087106
