taxa,common_name_final,Site,DepthZone,mean_density_m2
Anthopleura artemisia,"",Malibu Bluffs,Inner,0.00833333333333333
Anthopleura sola,starburst anenome,Malibu Bluffs,Inner,0.05
Astropecten armatus,"",Malibu Bluffs,Inner,0.00833333333333333
Flabellina iodinea,,Malibu Bluffs,Inner,0.0166666666666667
Megastraea undosa,wavy turban snail,Malibu Bluffs,Inner,0.0166666666666667
Muricea californica,golden gorgonian,Malibu Bluffs,Inner,0.0833333333333333
Styela montereyensis,stalked tunicate,Malibu Bluffs,Inner,0.0666666666666667
Megastraea undosa,wavy turban snail,Malibu Bluffs,Middle,0.216666666666667
Muricea californica,golden gorgonian,Malibu Bluffs,Middle,0.125
Octopus bimaculoides,California two-spot octopus,Malibu Bluffs,Middle,0.00833333333333333
Panulirus interruptus,California spiny lobster,Malibu Bluffs,Middle,0.00833333333333333
Styela montereyensis,stalked tunicate,Malibu Bluffs,Middle,1.36666666666667
Anthopleura sola,starburst anenome,Big Rock,Inner,0.00833333333333333
Megastraea undosa,wavy turban snail,Big Rock,Inner,0.158333333333333
Mesocentrotus franciscanus,red urchin,Big Rock,Inner,0.00833333333333333
Muricea californica,golden gorgonian,Big Rock,Inner,2.95
Muricea fruticosa,brown gorgonian,Big Rock,Inner,0.575
Neobernaya spadicea,"",Big Rock,Inner,0.025
Patiria miniata,bat star,Big Rock,Inner,0.0666666666666667
Styela montereyensis,stalked tunicate,Big Rock,Inner,0.0166666666666667
