Species_top10,common_top10
Anisotremus davidsonii,xantic sargo
Brachyistius frenatus,kelp perch
Chromis punctipinnis,blacksmith
Embiotoca jacksoni,black perch
Girella nigricans,opaleye
Halichoeres semicinctus,rock wrasse
Hypsypops rubicundus,Garibaldi damselfish
Oxyjulis californica,senorita
Paralabrax clathratus,kelp bass
Paralabrax nebulifer,barred sand bass
Rhinogobiops nicholsii,blackeye goby
Sebastes miniatus,vermillion rockfish
Sebastes serranoides,olive rockfish
Bodianus pulcher,California sheephead
