Species_top10,common_top10
Anisotremus davidsonii,xantic sargo
Brachyistius frenatus,kelp perch
Chromis punctipinnis,blacksmith
Embiotoca jacksoni,black perch
Girella nigricans,opaleye
Halichoeres semicinctus,rock wrasse
Hypsurus caryi,rainbow seaperch
Hypsypops rubicundus,Garibaldi damselfish
Lythrypnus dalli,bluebanded goby
Medialuna californiensis,halfmoon
Oxyjulis californica,senorita
Paralabrax clathratus,kelp bass
Paralabrax nebulifer,barred sand bass
Rhacochilus toxotes,rubberlip seaperch
Rhinogobiops nicholsii,blackeye goby
Sebastes serranoides,olive rockfish
Bodianus pulcher,California sheephead
